0,15,4,72,28.24
1,64,7,16,19.38
2,57,5,9,20.71
3,18,2,41,50.0
4,34,5,46,22.72
5,46,2,16,67.57
6,33,3,21,33.0
7,18,3,100,43.63
8,64,2,16,50.0
9,23,5,61,21.92
10,26,2,47,53.91
11,13,2,41,72.22
12,62,3,17,36.0
13,13,3,53,33.0
14,20,4,93,40.69
15,16,2,50,51.22
16,5,2,100,60.34
17,17,3,48,34.57
18,18,3,76,49.67
19,59,5,25,30.93
20,11,3,61,33.0
21,46,4,27,26.56
22,18,2,26,52.0
23,8,2,43,55.26
24,7,2,86,59.09
25,60,6,25,16.0
26,70,5,22,27.0
27,37,2,16,69.35
28,4,1,100,100.0
29,13,2,17,50.0
30,2,1,100,100.0
31,39,3,14,44.79
32,6,1,58,100
33,2,1,100,100.0
34,72,5,3,20.0
35,1,1,100,100.0
36,12,1,9,100.0
37,29,2,12,50.0
38,14,2,64,50.0
39,3,1,100,100.0
40,16,2,46,75.68
41,46,3,9,40.5
42,7,3,78,53.03
43,52,3,10,33.0
44,75,6,15,16.0
46,4,1,0,0
48,16,3,42,35.75
49,18,2,29,66.67
50,35,2,6,50.0
51,0,1,100,100.0
52,0,1,100,100.0
53,11,2,7,50.0
54,25,1,30,100.0
55,51,4,8,29.55
