0,56,8,57,14.41
1,68,8,43,12.17
2,48,6,16,16.0
3,34,2,44,84.21
4,31,3,64,33.65
5,8,2,100,100
6,17,3,37,49.5
7,30,3,0,0
8,44,5,10,20.0
9,4,1,100,100
10,44,4,53,38.98
11,26,3,92,50.1
12,38,5,52,20.4
13,40,5,39,21.5
14,45,6,34,19.92
15,43,2,12,50.0
16,36,7,59,37.15
17,56,9,61,19.22
18,38,5,53,38.04
19,11,2,100,69.64
20,36,3,35,33.0
21,7,1,100,100.0
22,52,4,42,37.05
23,45,4,63,43.4
24,54,4,64,36.36
25,38,7,43,21.33
26,30,2,71,50.0
27,42,4,22,25.0
28,50,7,57,31.97
29,53,5,55,42.16
30,48,4,42,37.5
31,39,7,63,18.89
32,53,6,10,19.64
33,37,3,70,43.0
34,56,5,73,28.54
35,44,4,62,26.81
36,43,7,44,22.57
37,56,8,70,24.8
38,60,3,13,33.0
39,48,6,55,27.42
40,50,5,55,31.71
41,96,12,12,17.9
42,53,5,26,28.0
43,35,5,81,31.39
44,48,7,42,17.77
45,48,9,49,17.53
46,22,2,38,50.0
47,25,3,9,55.0
48,39,5,97,44.33
49,30,5,77,34.83
50,29,3,71,53.31
