0 C
1 H
2 H
3 H
4 H
5 C
6 H
7 H
8 H
9 H
10 C
11 H
12 H
13 H
14 H
15 C
16 H
17 H
18 H
19 H
20 C
21 H
22 H
23 H
24 H
25 C
26 H
27 H
28 H
29 H
30 C
31 H
32 H
33 H
34 H
35 O
36 H
37 H
38 O
39 H
40 H
41 O
42 H
43 H
44 O
45 H
46 H
47 O
48 H
49 H
50 O
51 H
52 H
53 O
54 H
55 H
56 O
57 H
58 H
59 N
60 H
61 H
62 H
63 N
64 H
65 H
66 H
67 N
68 H
69 H
70 H
71 N
72 H
73 H
74 H
75 N
76 H
77 H
78 H
79 N
80 H
81 H
82 H
83 N
84 H
85 H
86 H
87 H
88 H
89 H
90 H
91 H
92 H
93 H
94 H
95 H
96 H
97 H
98 H
99 C
100 O
101 C
102 O
103 C
104 O
105 C
106 O
107 C
108 O
109 C
110 O
111 C
112 O
113 C
114 O
